Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6340000e+00                  1.7834788e-08                  1.7834788e-08
2.6341000e+00                  2.2066440e-08                  2.2066440e-08
2.6342000e+00                  2.6116956e-08                  2.6116956e-08
2.6343000e+00                  2.9520492e-08                  2.9520492e-08
2.6344000e+00                  3.1855417e-08                  3.1855417e-08
2.6345000e+00                  3.2841730e-08                  3.2841730e-08
2.6346000e+00                  3.2410030e-08                  3.2410030e-08
2.6347000e+00                  3.0717143e-08                  3.0717143e-08
2.6348000e+00                  2.8101953e-08                  2.8101953e-08
2.6349000e+00                  2.4997188e-08                  2.4997188e-08
2.6350000e+00                  2.1828746e-08                  2.1828746e-08
2.6351000e+00                  1.8936697e-08                  1.8936697e-08
2.6352000e+00                  1.6540600e-08                  1.6540600e-08
2.6353000e+00                  1.4752078e-08                  1.4752078e-08
2.6354000e+00                  1.3618519e-08                  1.3618519e-08
2.6355000e+00                  1.3171225e-08                  1.3171225e-08
2.6356000e+00                  1.3452579e-08                  1.3452579e-08
2.6357000e+00                  1.4508475e-08                  1.4508475e-08
2.6358000e+00                  1.6348996e-08                  1.6348996e-08
2.6359000e+00                  1.8895754e-08                  1.8895754e-08
2.6360000e+00                  2.1942535e-08                  2.1942535e-08
2.6361000e+00                  2.5153546e-08                  2.5153546e-08
2.6362000e+00                  2.8110775e-08                  2.8110775e-08
2.6363000e+00                  3.0402856e-08                  3.0402856e-08
2.6364000e+00                  3.1729744e-08                  3.1729744e-08
2.6365000e+00                  3.1988409e-08                  3.1988409e-08
2.6366000e+00                  3.1309638e-08                  3.1309638e-08
2.6367000e+00                  3.0033615e-08                  3.0033615e-08
2.6368000e+00                  2.8634778e-08                  2.8634778e-08
2.6369000e+00                  2.7623859e-08                  2.7623859e-08
2.6370000e+00                  2.7458908e-08                  2.7458908e-08
2.6371000e+00                  2.8486325e-08                  2.8486325e-08
2.6372000e+00                  3.0914571e-08                  3.0914571e-08
2.6373000e+00                  3.4808748e-08                  3.4808748e-08
2.6374000e+00                  4.0093273e-08                  4.0093273e-08
2.6375000e+00                  4.6564431e-08                  4.6564431e-08
2.6376000e+00                  5.3937013e-08                  5.3937013e-08
2.6377000e+00                  6.1965500e-08                  6.1965500e-08
2.6378000e+00                  7.0676106e-08                  7.0676106e-08
2.6379000e+00                  8.0714218e-08                  8.0714218e-08
2.6380000e+00                  9.3755086e-08                  9.3755086e-08
2.6381000e+00                  1.1285704e-07                  1.1285704e-07
2.6382000e+00                  1.4257709e-07                  1.4257709e-07
2.6383000e+00                  1.8864592e-07                  1.8864592e-07
2.6384000e+00                  2.5704500e-07                  2.5704500e-07
2.6385000e+00                  3.5246713e-07                  3.5246713e-07
2.6386000e+00                  4.7637286e-07                  4.7637286e-07
2.6387000e+00                  6.2512532e-07                  6.2512532e-07
2.6388000e+00                  7.8888286e-07                  7.8888286e-07
2.6389000e+00                  9.5191506e-07                  9.5191506e-07
2.6390000e+00                  1.0946920e-06                  1.0946920e-06
2.6391000e+00                  1.1975196e-06                  1.1975196e-06
2.6392000e+00                  1.2448564e-06                  1.2448564e-06
2.6393000e+00                  1.2290373e-06                  1.2290373e-06
2.6394000e+00                  1.1521938e-06                  1.1521938e-06
2.6395000e+00                  1.0257146e-06                  1.0257146e-06
2.6396000e+00                  8.6743980e-07                  8.6743980e-07
2.6397000e+00                  6.9753729e-07                  6.9753729e-07
2.6398000e+00                  5.3436985e-07                  5.3436985e-07
2.6399000e+00                  3.9148856e-07                  3.9148856e-07
2.6400000e+00                  2.7633802e-07                  2.7633802e-07
2.6401000e+00                  1.9060880e-07                  1.9060880e-07
2.6402000e+00                  1.3170494e-07                  1.3170494e-07
2.6403000e+00                  9.4641854e-08                  9.4641854e-08
2.6404000e+00                  7.3817232e-08                  7.3817232e-08
2.6405000e+00                  6.4362328e-08                  6.4362328e-08
2.6406000e+00                  6.3029109e-08                  6.3029109e-08
2.6407000e+00                  6.8706102e-08                  6.8706102e-08
2.6408000e+00                  8.2663766e-08                  8.2663766e-08
2.6409000e+00                  1.0854788e-07                  1.0854788e-07
2.6410000e+00                  1.5203077e-07                  1.5203077e-07
2.6411000e+00                  2.1996342e-07                  2.1996342e-07
2.6412000e+00                  3.1890444e-07                  3.1890444e-07
2.6413000e+00                  4.5306858e-07                  4.5306858e-07
2.6414000e+00                  6.2201812e-07                  6.2201812e-07
2.6415000e+00                  8.1872557e-07                  8.1872557e-07
2.6416000e+00                  1.0288074e-06                  1.0288074e-06
2.6417000e+00                  1.2316058e-06                  1.2316058e-06
2.6418000e+00                  1.4033137e-06                  1.4033137e-06
2.6419000e+00                  1.5216109e-06                  1.5216109e-06
2.6420000e+00                  1.5705930e-06                  1.5705930e-06
2.6421000e+00                  1.5444746e-06                  1.5444746e-06
2.6422000e+00                  1.4488384e-06                  1.4488384e-06
2.6423000e+00                  1.2990207e-06                  1.2990207e-06
