Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6369000e+00                  1.5642814e-28                  1.5642814e-28
2.6370000e+00                  1.7412512e-28                  1.7412512e-28
2.6371000e+00                  1.9125120e-28                  1.9125120e-28
2.6372000e+00                  2.0682361e-28                  2.0682361e-28
2.6373000e+00                  2.2020252e-28                  2.2020252e-28
2.6374000e+00                  2.3128878e-28                  2.3128878e-28
2.6375000e+00                  2.4058517e-28                  2.4058517e-28
2.6376000e+00                  2.4909777e-28                  2.4909777e-28
2.6377000e+00                  2.5812021e-28                  2.5812021e-28
2.6378000e+00                  2.6899908e-28                  2.6899908e-28
2.6379000e+00                  2.8299610e-28                  2.8299610e-28
2.6380000e+00                  3.0132498e-28                  3.0132498e-28
2.6381000e+00                  3.2535573e-28                  3.2535573e-28
2.6382000e+00                  3.5687577e-28                  3.5687577e-28
2.6383000e+00                  3.9822396e-28                  3.9822396e-28
2.6384000e+00                  4.5211162e-28                  4.5211162e-28
2.6385000e+00                  5.2103569e-28                  5.2103569e-28
2.6386000e+00                  6.0635383e-28                  6.0635383e-28
2.6387000e+00                  7.0727408e-28                  7.0727408e-28
2.6388000e+00                  8.2013667e-28                  8.2013667e-28
2.6389000e+00                  9.3836288e-28                  9.3836288e-28
2.6390000e+00                  1.0532846e-27                  1.0532846e-27
2.6391000e+00                  1.1557807e-27                  1.1557807e-27
2.6392000e+00                  1.2383237e-27                  1.2383237e-27
2.6393000e+00                  1.2968240e-27                  1.2968240e-27
2.6394000e+00                  1.3316522e-27                  1.3316522e-27
2.6395000e+00                  1.3474756e-27                  1.3474756e-27
2.6396000e+00                  1.3519726e-27                  1.3519726e-27
2.6397000e+00                  1.3539086e-27                  1.3539086e-27
2.6398000e+00                  1.3612740e-27                  1.3612740e-27
2.6399000e+00                  1.3800882e-27                  1.3800882e-27
2.6400000e+00                  1.4141071e-27                  1.4141071e-27
2.6401000e+00                  1.4652443e-27                  1.4652443e-27
2.6402000e+00                  1.5342538e-27                  1.5342538e-27
2.6403000e+00                  1.6212725e-27                  1.6212725e-27
2.6404000e+00                  1.7261294e-27                  1.7261294e-27
2.6405000e+00                  1.8486625e-27                  1.8486625e-27
2.6406000e+00                  1.9893869e-27                  1.9893869e-27
2.6407000e+00                  2.1505941e-27                  2.1505941e-27
2.6408000e+00                  2.3374417e-27                  2.3374417e-27
2.6409000e+00                  2.5581632e-27                  2.5581632e-27
